Date,% Start,% End,Added_kWh,Capacity_Est
2026-04-08 17:16:48,39.0,80.0,23.74,57.90243902439024
2026-04-06 12:32:52,84.0,100.0,9.94,62.125
2026-04-05 12:02:32,80.0,100.0,12.32,61.6
2026-04-04 17:33:49,68.0,100.0,19.48,60.875
2026-04-04 11:27:44,63.0,80.0,10.02,58.94117647058823
2026-04-03 13:32:29,68.0,100.0,19.88,62.125
2026-04-03 11:24:17,71.0,73.0,1.0,50.0
2026-04-03 06:32:47,68.0,72.0,2.62,65.5
2026-04-03 03:48:33,67.0,69.0,1.28,64.0
2026-04-02 19:53:28,37.0,69.0,18.28,57.125
2026-04-01 19:09:27,44.0,64.0,11.38,56.900000000000006
2026-03-31 19:06:30,45.0,66.0,12.22,58.19047619047619
2026-03-31 18:19:51,48.0,49.0,0.7,70.0
2026-03-30 03:00:02,91.0,100.0,5.48,60.88888888888889
2026-03-29 10:16:08,59.0,100.0,24.7,60.24390243902439
2026-03-28 14:26:15,36.0,77.0,23.74,57.90243902439024
2026-03-27 05:05:10,65.0,87.0,12.96,58.909090909090914
2026-03-27 03:00:08,41.0,66.0,13.36,53.44
2026-03-25 03:00:10,48.0,97.0,27.12,55.3469387755102
2026-03-24 18:45:57,45.0,56.0,6.5,59.09090909090909
2026-03-23 03:00:10,58.0,100.0,23.7,56.42857142857143
2026-03-22 15:42:11,53.0,67.0,8.1,57.857142857142854
2026-03-21 18:43:28,62.0,71.0,5.34,59.33333333333333
2026-03-20 20:01:43,76.0,81.0,3.02,60.4
2026-03-19 13:30:58,88.0,100.0,7.34,61.16666666666667
2026-03-19 03:00:21,86.0,100.0,7.32,52.28571428571429
2026-03-18 14:06:38,72.0,96.0,14.06,58.58333333333333
2026-03-18 06:17:54,74.0,83.0,5.12,56.888888888888886
2026-03-18 01:34:56,14.0,74.0,34.54,57.56666666666666
2026-03-17 22:28:06,19.0,77.0,33.56,57.862068965517246
2026-03-17 20:01:01,22.0,39.0,10.16,59.76470588235294
2026-03-17 16:47:11,38.0,42.0,2.58,64.5
2026-03-17 12:19:41,80.0,100.0,11.36,56.8
2026-03-16 13:29:24,74.0,95.0,12.42,59.14285714285714
2026-03-15 14:32:37,79.0,94.0,8.48,56.53333333333334
2026-03-14 20:25:00,55.0,97.0,24.32,57.904761904761905
